作業工程,大分類,中分類,小分類,グラフ項目
Ｎ完修(塗装),2トーン塗装,かぶり・差し込み,作業者要因,マスキング不良
Ｎ完修(塗装),2トーン塗装,かぶり・差し込み,是正,マスキング不良
Ｎ完修(塗装),2トーン塗装,マスキング剥がし忘れ,作業者要因,マスキング不良
Ｎ完修(塗装),2トーン塗装,マスキング剥がし忘れ,是正,マスキング不良
Ｎ完修(塗装),2トーン塗装,見切り位置ずれ,作業者要因,マスキング不良
Ｎ完修(塗装),2トーン塗装,見切り位置ずれ,治具要因,マスキング不良
Ｎ完修(塗装),2トーン塗装,見切り不良(波打ち・ガタツキ),作業者要因,マスキング不良
Ｎ完修(塗装),2トーン塗装,見切り不良(波打ち・ガタツキ),是正,マスキング不良
Ｎ完修(塗装),2トーン塗装,糊付着,拭き取り不足,マスキング不良
Ｎ完修(塗装),2トーン塗装,マスカー当たりキズ,作業者要因,キズ
Ｎ完修(塗装),2トーン塗装,マスカー当たりキズ,是正,キズ
Ｎ完修(塗装),アンダーコート（焼付）,キャップ不具合,欠品,その他
Ｎ完修(塗装),アンダーコート（焼付）,マスキングテープ付,剥がし忘れ,その他
Ｎ完修(塗装),アンダーコート（焼付）,付着,作業者要因,その他
Ｎ完修(塗装),アンダーコート（焼付）,付着,設備要因,その他
Ｎ完修(塗装),アンダーコート（焼付）,未塗布,設備要因,その他
Ｎ完修(塗装),アンダーコート（常温乾燥）,付着,設備要因,その他
Ｎ完修(塗装),サイレンサーシート,シートズレ,セット不良,その他
Ｎ完修(塗装),サイレンサーシート,シート欠品,作業忘れ,その他
Ｎ完修(塗装),サッシュ黒テープ,エア入り,作業者要因,テープ不良
Ｎ完修(塗装),サッシュ黒テープ,キズ,作業者要因,キズ
Ｎ完修(塗装),サッシュ黒テープ,ブツ,除去不良,テープ不良
Ｎ完修(塗装),サッシュ黒テープ,欠品（テープ）,作業者要因,テープ不良
Ｎ完修(塗装),サッシュ黒テープ,折り返し,作業者要因,テープ不良
Ｎ完修(塗装),サッシュ黒テープ,段差・位置ズレ,作業者要因,テープ不良
Ｎ完修(塗装),シーラー,さわり,作業者要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,さわり,設備要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,位置ずれ,作業者要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,位置ずれ,設備要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,形状不良,エア膨れ,シーラー不良・付着
Ｎ完修(塗装),シーラー,形状不良,作業者要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,形状不良,仕上げ不良,シーラー不良・付着
Ｎ完修(塗装),シーラー,形状不良,触り,シーラー不良・付着
Ｎ完修(塗装),シーラー,形状不良,設備要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,仕上げ不良,是正,シーラー不良・付着
Ｎ完修(塗装),シーラー,仕上げ不良,設備要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,水漏れ,作業者要因,水漏れ
Ｎ完修(塗装),シーラー,切れ・穴,作業者要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,切れ・穴,是正,シーラー不良・付着
Ｎ完修(塗装),シーラー,切れ・穴,設備要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,付着,作業者要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,付着,是正,シーラー不良・付着
Ｎ完修(塗装),シーラー,付着,設備要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,膨れ,エア膨れ,シーラー不良・付着
Ｎ完修(塗装),シーラー,膨れ,作業者要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,膨れ,是正,シーラー不良・付着
Ｎ完修(塗装),シーラー,膨れ,設備要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,未塗布,作業者要因,シーラー不良・付着
Ｎ完修(塗装),シーラー,未塗布,設備要因,シーラー不良・付着
Ｎ完修(塗装),ドレンキャップ取付け,取付け不良,ズレ・外れ,その他
Ｎ完修(塗装),ドレンキャップ取付け,取付け不良,欠品,その他
Ｎ完修(塗装),ホイールハウス黒塗装,かぶり,設備異常,その他
Ｎ完修(塗装),ホイールハウス黒塗装,かぶり,設備要因,その他
Ｎ完修(塗装),ルーフモールクリップ取付,位置ずれ,作業要因,その他
Ｎ完修(塗装),ルーフモールクリップ取付,欠品,作業忘れ,その他
Ｎ完修(塗装),完成課,組付けキズ,完成課責任,-
Ｎ完修(塗装),完成課,組付け凹凸,完成課責任,-
Ｎ完修(塗装),検査・修正,かぶり,作業者要因,修正
Ｎ完修(塗装),検査・修正,キズ,作業者要因,キズ
Ｎ完修(塗装),検査・修正,コンパウンドﾞ付,作業者要因,修正
Ｎ完修(塗装),検査・修正,テープorストロー付,作業者要因,修正
Ｎ完修(塗装),検査・修正,ブツ除去不足,作業者要因,修正
Ｎ完修(塗装),検査・修正,ポリッシング忘れ・不足,作業者要因,修正
Ｎ完修(塗装),検査・修正,凹凸,作業者要因,修正
Ｎ完修(塗装),検査・修正,見逃し・修正忘れ,作業者要因,修正
Ｎ完修(塗装),検査・修正,治具キズ,作業者要因,修正
Ｎ完修(塗装),検査・修正,焼付け不良,オーバーベイク,修正
Ｎ完修(塗装),検査・修正,焼付け不良,焼き甘,修正
Ｎ完修(塗装),検査・修正,色目違い,作業者要因,修正
Ｎ完修(塗装),検査・修正,白ボケ,作業者要因,修正
Ｎ完修(塗装),検査・修正,磨きスケ,作業者要因,修正
Ｎ完修(塗装),車体課,バリorスパッタ,スパッタ,その他
Ｎ完修(塗装),車体課,ヘミング不良,車体課・プレス責任,その他
Ｎ完修(塗装),車体課,凹凸,ゴミ押し凹,凹凸
Ｎ完修(塗装),車体課,凹凸,特定できず,凹凸
Ｎ完修(塗装),修正,かぶり,作業者要因,修正
Ｎ完修(塗装),修正,キズ,作業者要因,キズ
Ｎ完修(塗装),修正,コンパウンド焼付,作業者要因,修正
Ｎ完修(塗装),修正,コンパウンド付,作業者要因,修正
Ｎ完修(塗装),修正,テープorストロー付,作業者要因,修正
Ｎ完修(塗装),修正,バフ不足,作業者要因,修正
Ｎ完修(塗装),修正,バフ粉,作業者要因,修正
Ｎ完修(塗装),修正,バフ粉,是正,修正
Ｎ完修(塗装),修正,バフ忘れ,作業者要因,修正
Ｎ完修(塗装),修正,ブツ除去不足,作業者要因,修正
Ｎ完修(塗装),修正,ラッカー修正不良,作業者要因,修正
Ｎ完修(塗装),修正,凹凸,作業者要因,修正
Ｎ完修(塗装),修正,治具キズ,作業者要因,キズ
Ｎ完修(塗装),修正,修正忘れ,作業者要因,修正
Ｎ完修(塗装),修正,焼付け不良,オーバーベイク,修正
Ｎ完修(塗装),修正,焼付け不良,仕上げ不良,修正
Ｎ完修(塗装),修正,焼付け不良,焼き甘,修正
Ｎ完修(塗装),修正,色目違い,作業者要因,修正
Ｎ完修(塗装),修正,水跡,作業者要因,修正
Ｎ完修(塗装),修正,白ボケ,作業者要因,修正
Ｎ完修(塗装),修正,部品交換不良,作業者要因,修正
Ｎ完修(塗装),修正,磨きスケ,作業者要因,修正
Ｎ完修(塗装),上塗り,IDラベル不具合,ブツ,上塗ブツ
Ｎ完修(塗装),上塗り,かぶり,作業者要因,上塗ブツ
Ｎ完修(塗装),上塗り,かぶり,是正,上塗ブツ
Ｎ完修(塗装),上塗り,かぶり,設備要因,上塗ブツ
Ｎ完修(塗装),上塗り,キズ,作業者要因,キズ
Ｎ完修(塗装),上塗り,ケバ,作業者要因,上塗ブツ
Ｎ完修(塗装),上塗り,ケバ,設備要因,上塗ブツ
Ｎ完修(塗装),上塗り,ケバ,特定できず,上塗ブツ
Ｎ完修(塗装),上塗り,スジ,拭きスジ,その他
Ｎ完修(塗装),上塗り,スジ,設備要因,その他
Ｎ完修(塗装),上塗り,タマリ,作業者要因,タレ
Ｎ完修(塗装),上塗り,タマリ,是正,タレ
Ｎ完修(塗装),上塗り,タマリ,設備異常,タレ
Ｎ完修(塗装),上塗り,タマリ,設備要因,タレ
Ｎ完修(塗装),上塗り,タレ,作業者要因,タレ
Ｎ完修(塗装),上塗り,タレ,是正,タレ
Ｎ完修(塗装),上塗り,タレ,設備異常,タレ
Ｎ完修(塗装),上塗り,タレ,設備要因,タレ
Ｎ完修(塗装),上塗り,ハジキ,作業者要因,ハジキ
Ｎ完修(塗装),上塗り,ハジキ,是正,ハジキ
Ｎ完修(塗装),上塗り,ハジキ,設備異常,ハジキ
Ｎ完修(塗装),上塗り,ハジキ,設備要因,ハジキ
Ｎ完修(塗装),上塗り,ハジキ,特定できず,ハジキ
